"","mgi_symbol","start_position","end_position","length"
"1767","Nsun2",69533746,69635780,102.034
"1768","Nt5dc2",31131053,31139124,8.071
"1769","Ntrk2",58806569,59133970,327.401
"1770","Nudt14",112934291,112942124,7.833
"1771","Nufip1",76110891,76137379,26.488
"1772","Ogn",49608046,49624501,16.455
"1773","Oxnad1",32085374,32103202,17.828
"1774","Oxsm",16238652,16249808,11.156
"1775","Pak1ip1",41001023,41013015,11.992
"1776","Papola",105784694,105838944,54.25
"1777","Parg",32201949,32297550,95.601
"1778","Parp2",50807841,50821301,13.46
"1779","Parp8",116854820,117025537,170.717
"1780","Pcbd2",55727368,55776830,49.462
"1781","Pdcd6",74303509,74317580,14.071
"1782","Pdhb",8165996,8173025,7.029
"1783","Pdlim7",55495795,55513676,17.881
"1784","Pelo",115088355,115090186,1.831
"1785","Pfkp",6579768,6648777,69.009
"1786","Pgf",85166635,85177790,11.155
"1787","Phf7",31237689,31251317,13.628
"1788","Pik3r1",101680563,101768217,87.654
"1789","Plau",20836660,20843385,6.725
"1790","Plk2",110395046,110400844,5.798
"1791","Pnoc",65400673,65425472,24.799
"1792","Pnp",50931082,50965237,34.155
"1793","Polk",96480690,96542579,61.889
"1794","Polr3d",70438757,70443447,4.69
"1795","Ppif",25694154,25700468,6.314
"1796","Ppp2r2a",67014056,67072444,58.388
"1797","Ppp3cb",20499364,20546573,47.209
"1798","Ppp3cc",70217865,70289471,71.606
"1799","Prelid1",55320500,55325272,4.772
"1800","Prkcd",30595354,30626210,30.856
"1801","Prl6a1",27312627,27319252,6.625
"1802","Prmt5",54507187,54517525,10.338
"1803","Prpf39",65036333,65063386,27.053
"1804","Prpf4b",34875302,34906064,30.762
"1805","Psma2",14613240,14674236,60.996
"1806","Psmb5",54614119,54618022,3.903
"1807","Psmc1",100110154,100123405,13.251
"1808","Psmc6",45329788,45349705,19.917
"1809","Psmd6",14112174,14120984,8.81
"1810","Psme1",55578123,55581529,3.406
"1811","Psme2",55587441,55591113,3.672
"1812","Psme2",48960285,48961001,0.716
"1813","Psmg4",34162964,34178173,15.209
"1814","Pspc1",56720710,56778316,57.606
"1815","Ptcd2",99319647,99344705,25.058
"1816","Ptch1",63508328,63573598,65.27
"1817","Ptdss1",66932830,66998401,65.571
"1818","Ptk2b",66153257,66281052,127.795
"1819","Ptprg",11553532,12242041,688.509
"1820","Pxk",8098211,8165117,66.906
"1821","R3hcc1",69697307,69707584,10.277
"1822","Rab24",55319743,55321946,2.203
"1823","Rad17",100617164,100651051,33.887
"1824","Rala",17880571,17944239,63.668
"1825","Ranbp9",43402675,43481282,78.607
"1826","Rap2a",120478444,120507194,28.75
"1827","Rasa1",85214780,85289130,74.35
"1828","Rb1",73183673,73325822,142.149
"1829","Rcbtb1",59201209,59237265,36.056
"1830","Rhoj",75308322,75401456,93.134
"1831","Riok1",38036995,38061433,24.438
"1832","Ripk1",34002363,34037147,34.784
"1833","Rmi1",58402248,58411148,8.9
"1834","Rnase4",51091077,51106151,15.074
"1835","Rnaseh2b",62292589,62372992,80.403
"1836","Rnf44",54679399,54693907,14.508
"1837","Ror2",53109312,53286124,176.812
"1838","Rpl15",18267823,18271391,3.568
"1839","Rpp14",8080367,8091834,11.467
"1840","Rps23",90922958,90924950,1.992
"1841","Rps24",24487125,24496959,9.834
"1842","Rreb1",37778400,37952005,173.605
"1843","Ryr2",11553102,12106945,553.843
"1844","S1pr3",51408639,51422797,14.158
"1845","Sap18",57798180,57806638,8.458
"1846","Scamp1",94201310,94285857,84.547
"1847","Scel",103513342,103612797,99.455
"1848","Sdha",74322254,74350280,28.026
"1849","Sec24c",20674308,20694852,20.544
"1850","Sema4d",51685529,51793747,108.218
"1851","Serf1",100108012,100114571,6.559
"1852","Serpina3n",104406729,104414329,7.6
"1853","Serpinb1a",32842092,32851185,9.093
"1854","Serpinb6a",33917918,34002794,84.876
"1855","Serpinb6b",32965209,32979067,13.858
"1856","Serpinb6c",33879816,33905708,25.892
"1857","Serpinb9",33003250,33017957,14.707
"1858","Sfxn1",54071869,54108342,36.473
"1859","Sh3bp5",31359880,31436078,76.198
"1860","Shc3",51431041,51569419,138.378
"1861","Slc12a7",73733094,73816754,83.66
"1862","Slc22a17",54906304,54913132,6.828
"1863","Slc22a23",34179158,34345182,166.024
"1864","Slc25a47",108836046,108856815,20.769
"1865","Slc30a5",100802648,100833427,30.779
"1866","Slc39a9",80643883,80683342,39.459
"1867","Slc7a7",54369442,54417780,48.338
"1868","Slc7a8",54722209,54781946,59.737
"1869","Slmap",26413168,26534931,121.763
"1870","Smad5",56703010,56742377,39.367
"1871","Smn1",100124852,100137690,12.838
"1872","Sncg",34370274,34374789,4.515
"1873","Snw1",87449075,87472274,23.199
"1874","Snx13",35047186,35147479,100.293
"1875","Sorbs3",70180468,70211989,31.521
"1876","Sos2",69583762,69681852,98.09
"1877","Sox4",28948919,28953713,4.794
"1878","Spata13",60634001,60764556,130.555
"1879","Spcs1",30999826,31001672,1.846
"1880","Spin1",51100880,51152546,51.666
"1881","Spock1",57421195,57908332,487.137
"1882","Sptlc1",53332748,53377397,44.649
"1883","Srp54b",55155104,55189573,34.469
"1884","Ssbp2",91460283,91703429,243.146
"1885","Ssr1",37966605,37994217,27.612
"1886","Stab1",31139013,31168641,29.628
"1887","Stc1",69029238,69041804,12.566
"1888","Stk24",121286343,121380011,93.668
"1889","Styx",45351093,45422820,71.727
"1890","Sucla2",73525319,73596142,70.823
"1891","Sugt1",79587691,79635196,47.505
"1892","Taf9",100651579,100656060,4.481
"1893","Tbca",94788910,94842922,54.012
"1894","Tbce",13997949,14039638,41.689
"1895","Tcl1",105216750,105222793,6.043
"1896","Tdp2",24831679,24842153,10.474
"1897","Tep1",50824059,50870560,46.501
"1898","Tgfbi",56609523,56639562,30.039
"1899","Thoc3",54458837,54468849,10.012
"1900","Thoc7",13949012,13961852,12.84
"1901","Thrb",17660261,18038090,377.829
"1902","Timm23",32180162,32201898,21.736
"1903","Tinf2",55674689,55681820,7.131
"1904","Tkt",30548359,30574720,26.361
"1905","Tm9sf1",55635965,55643806,7.841
"1906","Tm9sf2",122107038,122159604,52.566
"1907","Tmed8",87166237,87200454,34.217
"1908","Tmed9",55573732,55597697,23.965
"1909","Tmem14c",41016292,41022586,6.294
"1910","Tmem167",90089123,90143907,54.784
"1911","Tmx1",70453095,70468040,14.945
"1912","Tnfsf11",78277445,78308043,30.598
"1913","Tnnc1",31208312,31211729,3.417
"1914","Tnpo1",98839019,98926384,87.365
"1915","Top2b",16365179,16435462,70.283
"1916","Tox4",52279146,52296401,17.255
"1917","Tpmt",47022482,47044737,22.255
"1918","Trim13",61598247,61605946,7.699
"1919","Trim27",21179445,21194724,15.279
"1920","Trip13",73911347,73937784,26.437
"1921","Tsc22d1",76414961,76507765,92.804
"1922","Tubb2a",34074274,34078007,3.733
"1923","Tubb2a-ps2",11881325,11882663,1.338
"1924","Txndc5",38500079,38528824,28.745
"1925","Ubac2",121878620,122021034,142.414
"1926","Ube2e1",18282722,18331859,49.137
"1927","Ubqln1",58176156,58215653,39.497
"1928","Uimc1",55027880,55100300,72.42
"1929","Uqcrb",66900617,66905378,4.761
"1930","Vcan",89655312,89742509,87.197
"1931","Vcl",20929398,21033676,104.278
"1932","Vps41",18717286,18866811,149.525
"1933","Wbp4",79459937,79481520,21.583
"1934","Wdfy2",62837678,62961509,123.831
"1935","Wdhd1",47240944,47276857,35.913
"1936","Wnt5a",28504750,28527448,22.698
"1937","Wrnip1",32802038,32822609,20.571
"1938","Ywhaq",21390071,21417637,27.566
"1939","Zbed3",95323612,95337841,14.229
"1940","Zfp322a",23353103,23369208,16.105
"1941","Zfp503",21983959,21989601,5.642
"1942","Zfp808",62129886,62236144,106.258
"1943","Zfyve16",92487108,92530868,43.76
"1944","Zic2",122475435,122479852,4.417
"1945","Zkscan3",21387003,21402755,15.752
"1946","Zmynd11",9684833,9765330,80.497
"1947","Zscan12",21362820,21372289,9.469
"1948","1110038F14Rik",76948506,76950979,2.473
"1949","1810013L24Rik",8830100,8858922,28.822
"1950","4930453N24Rik",64751751,64771161,19.41
"1951","5031439G07Rik",84943936,84988551,44.615
"1952","A4galt",83226722,83251774,25.052
"1953","Aaas",102338252,102350771,12.519
"1954","Aard",52040107,52045722,5.615
"1955","Abcc1",14361558,14475737,114.179
"1956","Abcc5",20331303,20426394,95.091
"1957","Abcd2",91145871,91191799,45.928
"1958","Abcf3",20548577,20561379,12.802
"1959","Aco2",81872309,81915133,42.824
"1960","Acot10",20665214,20666750,1.536
"1961","Acvrl1",101128522,101145336,16.814
"1962","Adcy6",98589973,98610076,20.103
"1963","Adcy8",64697084,64922296,225.212
"1964","Adcy9",4287529,4420498,132.969
"1965","Adprh",38444030,38452703,8.673
"1966","Adsl",80948490,80970946,22.456
"1967","Alcam",52248996,52454074,205.078
"1968","Alg3",20605374,20611735,6.361
"1969","Amacr",10981756,10996626,14.87
"1970","Ank",27466677,27594909,128.232
"1971","Ankrd28",31698768,31830651,131.883
"1972","Ankrd46",36477668,36496820,19.152
"1973","Anks3",4941436,4964205,22.769
"1974","Ap2m1",20535478,20544909,9.431
"1975","App",84949685,85173766,224.081
"1976","Arf3",98736634,98763214,26.58
"1977","Arfgap3",83299739,83350247,50.508
"1978","Arhgap39",76723985,76818170,94.185
"1979","Arid2",96287518,96404992,117.474
"1980","Arl6",59612949,59639391,26.442
"1981","Arsa",89472476,89477425,4.949
"1982","Asap1",64086857,64382919,296.062
"1983","Atf1",100227819,100261244,33.425
"1984","Atf4",80255184,80257541,2.357
"1985","Atg14",47540893,47570649,29.756
"1986","Atp13a3",30312423,30405975,93.552
"1987","Atp5g2",102662864,102672352,9.488
"1988","Atp5j",84827866,84835625,7.759
"1989","Atp5o",91684398,91926982,242.584
"1990","Atp5o",91925214,91931687,6.473
"1991","Atp6v1a",44085402,44139705,54.303
"1992","Atp6v1c1",38661933,38692446,30.513
"1993","Atxn10",85336245,85463212,126.967
"1994","AU021092",5211823,5222299,10.476
"1995","AW549877",3982035,3995744,13.709
"1996","Azin1",38487427,38519266,31.839
"1997","Bach1",87698945,87733346,34.401
"1998","Basp1",25363277,25413764,50.487
"1999","BC002163",42955631,42955949,0.318
"2000","Bcl6",23965052,23988852,23.8
"2001","Bik",83526862,83544634,17.772
"2002","Bop1",76452989,76477277,24.288
"2003","Brd1",88687034,88734233,47.199
"2004","Brix1",10474779,10485947,11.168
"2005","Btg3",78332637,78377192,44.555
"2006","C030006K11Rik",76721465,76723845,2.38
"2007","C1qtnf3",10952332,10980150,27.818
"2008","C2cd2",97855209,97962598,107.389
"2009","Cacnb3",98630840,98644529,13.689
"2010","Carhsp1",8658580,8672155,13.575
"2011","Cbx5",103191544,103239816,48.272
"2012","Cbx6",79823896,79834688,10.792
"2013","Cbx7",79915807,79971119,55.312
"2014","Ccdc58",36071685,36092120,20.435
"2015","Ccdc80",45093402,45128077,34.675
"2016","Ccnt1",98538689,98570923,32.234
"2017","Cct5",31590800,31601804,11.004
"2018","Cct8",87483326,87495873,12.547
"2019","Cd200",45382135,45409053,26.918
"2020","Cd47",49800533,49915010,114.477
"2021","Cdc45",18780447,18811987,31.54
"2022","Cdh10",18818947,19014236,195.289
"2023","Cdkn3",46760541,46771669,11.128
"2024","Cebpd",15887286,15891031,3.745
"2025","Cela1",100674421,100687921,13.5
"2026","Celsr1",85898929,86033777,134.848
"2027","Cerk",86139128,86186141,47.013
"2028","Cggbp1",64851996,64859507,7.511
"2029","Chaf1b",93883901,93906115,22.214
"2030","Chd8",52198151,52257780,59.629
"2031","Chkb",89426360,89429908,3.548
"2032","Chmp2b",65539128,65562726,23.598
"2033","Chrac1",73090392,73097554,7.162
"2034","Chrd",20733127,20742384,9.257
"2035","Clcn2",20702964,20717746,14.782
"2036","Cldn5",18776847,18778262,1.415
"2037","Clec16a",10545339,10744878,199.539
"2038","Cmbl",31565389,31590119,24.73
"2039","Cntn1",92051165,92341967,290.802
"2040","Col14a1",55307750,55520803,213.053
"2041","Col2a1",97975602,98004695,29.093
"2042","Commd5",76899910,76901305,1.395
"2043","Commd6",101632981,101640686,7.705
"2044","Copz1",103272714,103299868,27.154
"2045","Cox6c",35925886,35938246,12.36
"2046","Cpox",58670292,58717636,47.344
"2047","Creld2",88819646,88826683,7.037
"2048","Csad",102176999,102204724,27.725
"2049","Csnk1e",79417856,79455566,37.71
"2050","Ctnnd2",30172593,31029341,856.748
"2051","Cxadr",78301489,78359774,58.285
"2052","Cyb5r3",83153494,83172592,19.098
"2053","Cyc1",76343523,76346260,2.737
"2054","Cyhr1",76643395,76660117,16.722
"2055","Dab2",6299788,6440712,140.924
"2056","Dap",31224314,31274341,50.027
"2057","Dazap2",100615349,100620761,5.412
"2058","Dcaf13",39112865,39146856,33.991
"2059","Dcaf13",38976016,39010007,33.991
"2060","Dcp1a",30479535,30527063,47.528
"2061","Ddhd1",45588467,45658143,69.676
"2062","Ddx17",79527736,79546741,19.005
"2063","Derl1",57869502,57892448,22.946
"2064","Dgat1",76502015,76511953,9.938
"2065","Dgcr6",18052860,18071632,18.772
"2066","Dhh",98891152,98898540,7.388
"2067","Dip2b",100038664,100219473,180.809
"2068","Dlg1",31663443,31875129,211.686
"2069","Dmc1",79561497,79605109,43.612
"2070","Dnaja3",4639989,4707695,67.706
"2071","Dnajb11",22857845,22879634,21.789
"2072","Dnajc21",10446756,10470516,23.76
"2073","Dnase1",4036942,4040024,3.082
"2074","Dnm1l",16312230,16358959,46.729
"2075","Dock5",67752135,67933442,181.307
"2076","Dppa2",48303908,48319723,15.815
"2077","Dppa4",48283733,48294237,10.504
"2078","Dvl3",20516982,20534010,17.028
"2079","Dyrk1a",94570010,94695517,125.507
"2080","Eef1d",75894205,75909556,15.351
"2081","Ehhadh",21761287,21787807,26.52
"2082","Eif2b5",20498817,20509323,10.506
"2083","Eif3d",77958998,77970813,11.815
"2084","Eif3e",43250058,43282719,32.661
"2085","Eif3l",79075179,79094405,19.226
"2086","Eif4a2",23107444,23114136,6.692
"2087","Eif4b",102073773,102097173,23.4
"2088","Eif4g1",20668313,20692884,24.571
"2089","Emp2",10281749,10313968,32.219
"2090","Enpp2",54838901,54952892,113.991
"2091","Eny2",44428042,44438256,10.214
"2092","Ephb3",21204755,21223305,18.55
"2093","Ercc4",13109684,13150617,40.933
"2094","Exosc4",76327397,76330677,3.28
"2095","Ext1",53064038,53346159,282.121
"2096","Fam162a",36043761,36071594,27.833
"2097","Fam49b",63929097,64060478,131.381
"2098","Fam83h",76001093,76014336,13.243
"2099","Fbln1",85205949,85286535,80.586
"2100","Fbxo45",32230112,32247158,17.046
"2101","Fgf12",28160098,28753068,592.97
"2102","Fhit",9550092,11162035,1611.943
"2103","Fkbp11",98724366,98728198,3.832
"2104","Fmnl3",99317225,99370482,53.257
"2105","Foxh1",76668225,76669948,1.723
"2106","Fstl1",37776873,37836514,59.641
"2107","Fyttd1",32877500,32908875,31.375
"2108","Fzd6",39006034,39038188,32.154
"2109","Fzd6",38869185,38901339,32.154
"2110","Gabpa",84834925,84863779,28.854
"2111","Galnt6",100691813,100729376,37.563
"2112","Gart",91621186,91646952,25.766
"2113","Gbe1",70313949,70569716,255.767
"2114","Gcat",79030901,79042531,11.63
"2115","Gcat",79030874,79038353,7.479
"2116","Gdnf",7810846,7837575,26.729
"2117","Gga1",78877190,78894585,17.395
"2118","Ghr",3317760,3583492,265.732
"2119","Gjb2",57098600,57104702,6.102
"2120","Glyr1",5013909,5049863,35.954
"2121","Gm10052",123689233,123690192,0.959
"2122","Gm10406",7006115,7027449,21.334
"2123","Gm10845",79860521,79869176,8.655
"2124","Gm12191",49678710,49679057,0.347
"2125","Gm3002",3810074,3966518,156.444
"2126","Gm3696",7083208,7100621,17.413
"2127","Gm5643",142297565,142298530,0.965
"2128","Gnpnat1",45376334,45404913,28.579
"2129","Golph3",12321450,12351591,30.141
"2130","Gp1bb",18620317,18622403,2.086
"2131","Gpaa1",76331231,76334907,3.676
"2132","Gpd1",99717515,99725005,7.49
"2133","Grik1",87895900,88290265,394.365
"2134","Grina",76246764,76249904,3.14
"2135","Gspt1",11219292,11254325,35.033
"2136","Gtpbp1",79690845,79721479,30.634
"2137","Gtse1",85859745,85876573,16.828
"2138","Gzme",56117626,56120625,2.999
"2139","H1f0",79028450,79030504,2.054
"2140","Has2",56665627,56694539,28.912
"2141","Hcls1",36934983,36963212,28.229
"2142","Hdac7",97792664,97844502,51.838
"2143","Hes1",30064384,30067796,3.412
"2144","Hira",18877037,18970309,93.272
"2145","Hmbox1",64811600,64949871,138.271
"2146","Hmox2",4726361,4766742,40.381
"2147","Hnrnpa1",103240432,103246692,6.26
"2148","Hoxc4",103018934,103036852,17.918
"2149","Hoxc5",102967443,103017429,49.986
"2150","Hoxc6",102998257,103011881,13.624
"2151","Hoxc8",102990607,102994111,3.504
"2152","Hoxc9",102976439,102985099,8.66
"2153","Hsf1",76477422,76501913,24.491
"2154","Ifnar1",91485238,91507441,22.203
"2155","Ifnar2",91372783,91405589,32.806
"2156","Ifngr2",91547072,91565623,18.551
"2157","Ift27",78159463,78174107,14.644
"2158","Igf2bp2",22059009,22163299,104.29
"2159","Igfbp6",102144362,102149511,5.149
"2160","Il10rb",91406164,91425834,19.67
"2161","Il1rap",26581704,26730117,148.413
"2162","Itga5",103344286,103366763,22.477
"2163","Itgb5",33829665,33949338,119.673
"2164","Itsn1",91729281,91920597,191.316
"2165","Josd1",79674251,79687919,13.668
"2166","Kcnj15",95257558,95300260,42.702
"2167","Kcnj4",79483714,79505241,21.527
"2168","Kctd12",102976581,102982637,6.056
"2169","Kctd17",78428564,78439303,10.739
"2170","Kdelr3",79516411,79527739,11.328
"2171","Kifc2",76659858,76668196,8.338
"2172","Klf10",38291463,38300706,9.243
"2173","Klhl24",20097542,20129221,31.679
"2174","Kpna1",35978750,36037131,58.381
"2175","Krt1",101845426,101850794,5.368
"2176","Krt18",102028180,102032027,3.847
"2177","Krt5",101707070,101712898,5.828
"2178","Krt6a",101689910,101694307,4.397
"2179","Krt6b",101676023,101680287,4.264
"2180","Krt7",101411043,101430313,19.27
"2181","Krt8",101996698,102004482,7.784
"2182","Laptm4b",34238028,34284302,46.274
"2183","Lgals1",78926725,78930465,3.74
"2184","Lifr",7090614,7197489,106.875
"2185","Lima1",99778470,99875456,96.986
"2186","Litaf",10959275,11066157,106.882
"2187","Lmbr1l",98903917,98918231,14.314
"2188","Lpp",24393507,24992578,599.071
"2189","Lrrc58",37868389,37888858,20.469
"2190","Lsg1",30560494,30587592,27.098
"2191","Ly6a",74994877,74998031,3.154
"2192","Ly6c1",75044018,75048830,4.812
"2193","Ly6c2",75108158,75111970,3.812
"2194","Ly6e",74955051,74959905,4.854
"2195","Ly6f",75268421,75272235,3.814
"2196","Ly6h",75551268,75567255,15.987
"2197","Maf1",76351294,76354380,3.086
"2198","Maff",79346621,79359076,12.455
"2199","Map3k12",102497646,102517064,19.418
"2200","Mapk1",16983382,17047453,64.071
"2201","Mapk12",89130584,89140703,10.119
"2202","March6",31455891,31531053,75.162
"2203","Masp1",23449417,23520815,71.398
"2204","Matn2",34306677,34436273,129.596
"2205","Mcm4",15623897,15637400,13.503
"2206","Mcrs1",99242817,99251961,9.144
"2207","Mettl7a1",100304140,100328662,24.522
"2208","Mfsd5",102279454,102281754,2.3
"2209","Mgat3",80173721,80215519,41.798
"2210","Mir686",54616677,54616785,0.108
"2211","Mkl1",81012281,81190757,178.476
"2212","Mrpl13",55534094,55557748,23.654
"2213","Mrpl39",84717576,84735742,18.166
"2214","Mrpl40",18872018,18876862,4.844
"2215","Mtdh",34082694,34145624,62.93
"2216","Myc",61985391,61990374,4.983
"2217","Myg1",102331709,102338139,6.43
"2218","Myh9",77760587,77842175,81.588
"2219","Mylk",34745210,35002420,257.21
"2220","Myo10",25622525,25813673,191.148
"2221","Mzt2",15848441,15863369,14.928
"2222","Naa30",49172226,49191031,18.805
"2223","Naga",82329532,82338925,9.393
"2224","Ncaph2",89355719,89372826,17.107
"2225","Ncbp2",31948513,31961781,13.268
"2226","Ndfip2",105258573,105309298,50.725
"2227","Ndrg1",66929318,66969640,40.322
"2228","Ndufa6",82350140,82354322,4.182
"2229","Ndufb4",37647170,37654453,7.283
"2230","Ndufb9",58933756,58939488,5.732
"2231","Nell2",95075230,95528559,453.329
"2232","Nfkbiz",55811375,55838899,27.524
"2233","Nid2",19751265,19811787,60.522
"2234","Nipbl",8290617,8444463,153.846
"2235","Nisch",31170930,31216946,46.016
"2236","Nit2",57156665,57167341,10.676
"2237","Nov",54745702,54754039,8.337
"2238","Npr3",11839896,11907287,67.391
"2239","Nr4a1",101254269,101274795,20.526
"2240","Nrbp2",76085518,76091627,6.109
"2241","Ntan1",13818845,13835451,16.606
"2242","Nubp1",10411948,10424428,12.48
"2243","Nudt16l1",4938761,4941032,2.271
"2244","Nup50",84923411,84942963,19.552
"2245","Nynrin",55854010,55874736,20.726
"2246","Osbpl11",33185071,33243312,58.241
"2247","Osmr",6813577,6874969,61.392
"2248","Oxct1",4026383,4155344,128.961
"2249","Pabpc1",36595661,36609668,14.007
"2250","Pabpn1",54892500,54898169,5.669
"2251","Pak2",32016290,32079342,63.052
"2252","Pbrm1",31019138,31121592,102.454
"2253","Pcbp2",102470539,102500061,29.522
"2254","Pck2",55540266,55551242,10.976
"2255","Pcyt1a",32430921,32475070,44.149
"2256","Pde1b",103503034,103530052,27.018
"2257","Pdgfb",79995874,80014977,19.103
"2258","Pdia5",35397312,35490873,93.561
"2259","Pdxdc1",13833148,13903131,69.983
"2260","Pfdn5",102326116,102331873,5.757
"2261","Pfkm",98092589,98132451,39.862
"2262","Phf5a",81864520,81871911,7.391
"2263","Phldb2",45746243,45953598,207.355
"2264","Pick1",79229173,79249484,20.311
"2265","Pigx",32084416,32099740,15.324
"2266","Pim3",88862186,88865726,3.54
"2267","Pkp2",16213318,16272712,59.394
"2268","Pla2g10",13715057,13730983,15.926
"2269","Pla2g6",79286228,79328390,42.162
"2270","Plec",76170974,76232574,61.6
"2271","Plxnb2",89155549,89180788,25.239
"2272","Pmm1",81951108,81960930,9.822
"2273","Pmm2",8637674,8662467,24.793
"2274","Poldip3",83125976,83149384,23.408
"2275","Polr2f",79141009,79151774,10.765
"2276","Polr2h",20717665,20722267,4.602
"2277","Polr2k",36174010,36177010,3
"2278","Polr3a",24448696,24487058,38.362
"2279","Pou6f1",100575318,100599984,24.666
"2280","Ppara",85734983,85802819,67.836
"2281","Ppil2",17086555,17111257,24.702
"2282","Ppl",5086291,5132421,46.13
"2283","Ppp1r1a",103530279,103538003,7.724
"2284","Ppp1r2",31251537,31275277,23.74
"2285","Prkag1",98812797,98831521,18.724
"2286","Prkdc",15637866,15842235,204.369
"2287","Prlr",10177238,10349180,171.942
"2288","Pros1",62854307,62929346,75.039
"2289","Prph",99055174,99058978,3.804
"2290","Prr13",102459028,102462806,3.778
"2291","Prr5",84669620,84703673,34.053
"2292","Psmd2",20651652,20663414,11.762
"2293","Psmg1",95979933,95990960,11.027
"2294","Ptger4",5206661,5244187,37.526
"2295","Ptk2",73205102,73423280,218.178
"2296","Ptp4a3",73723145,73758766,35.621
"2297","Puf60",76070182,76080924,10.742
"2298","Pvalb",78191114,78206400,15.286
"2299","Pvt1",62037986,62378096,340.11
"2300","Pycrl",75916477,75921560,5.083
"2301","Rabggta",55715416,55722263,6.847
"2302","Racgap1",99620496,99651656,31.16
"2303","Rad1",10486018,10499063,13.045
"2304","Rad21",51962240,51991747,29.507
"2305","Ranbp1",18239784,18248732,8.948
"2306","Rangap1",81704248,81745530,41.282
"2307","Rarg",102234938,102257517,22.579
"2308","Rbx1",81466296,81476369,10.073
"2309","Rcan1",92391953,92470867,78.914
"2310","Rfc4",23113943,23127737,13.794
"2311","Rhpn1",75704280,75715485,11.205
"2312","Rnf19a",36239933,36283147,43.214
"2313","Robo1",72308306,73046095,737.789
"2314","Rogdi",5008730,5013553,4.823
"2315","Ropn1l",31441211,31453737,12.526
"2316","Rpap3",97675097,97705825,30.728
"2317","Rpl24",55966275,55971435,5.16
"2318","Rpl3",80077791,80091868,14.077
"2319","Rpl30",34440505,34443640,3.135
"2320","Rpl35a",33056453,33060189,3.736
"2321","Rpl37",5116645,5119140,2.495
"2322","Rpl39l",10170226,10174911,4.685
"2323","Rpl8",76904078,76906314,2.236
"2324","Rrm2b",37923952,37961318,37.366
"2325","Rrp7a",83113433,83122801,9.368
"2326","Rsl1d1",11192970,11203331,10.361
"2327","Rspo2",43020794,43170826,150.032
"2328","Runx1",92601466,92826149,224.683
"2329","Samm50",84192241,84217267,25.026
"2330","Scn8a",100869858,101045938,176.08
"2331","Sco2",89371637,89373846,2.209
"2332","Scx",76457452,76459458,2.006
"2333","Sdc2",32920723,33034935,114.212
"2334","Sema5a",32244810,32696341,451.531
"2335","Sema5b",35541145,35664732,123.587
"2336","Sept5",18620502,18629954,9.452
"2337","Setd4",93583457,93604063,20.606
"2338","Sh3bgr",96200450,96228935,28.485
"2339","Sh3bp1",78899768,78912051,12.283
"2340","Sim2",94084931,94127032,42.101
"2341","Sla",66780819,66831829,51.01
"2342","Slain1",103650228,103704907,54.679
"2343","Slc11a2",100387898,100425072,37.174
"2344","Slc15a2",36750177,36784962,34.785
"2345","Slc25a1",17925223,17928219,2.996
"2346","Slc25a17",81318911,81360812,41.901
"2347","Slc38a2",96687392,96699730,12.338
"2348","Slc38a4",96994820,97055956,61.136
"2349","Slc39a4",76612383,76617384,5.001
"2350","Slc48a1",97778520,97792692,14.172
"2351","Slc4a7",14702279,14799940,97.661
"2352","Slc4a8",100761747,100823968,62.221
"2353","Smagp",100621339,100636940,15.601
"2354","Smarcd1",99702129,99713991,11.862
"2355","Snai2",14705852,14709385,3.533
"2356","Snn",11060945,11074985,14.04
"2357","Snx4",33251442,33300269,48.827
"2358","Soat2",102150526,102163469,12.943
"2359","Socs1",10782240,10785536,3.296
"2360","Son",91647506,91679221,31.715
"2361","Sox10",79154908,79165240,10.332
"2362","Sp1",102406143,102436404,30.261
"2363","Spats2",99125916,99213215,87.299
"2364","Sqle",59315077,59331192,16.115
"2365","St13",81363669,81400077,36.408
"2366","St3gal1",67102875,67176830,73.955
"2367","St6gal1",23224740,23360350,135.61
"2368","Stk3",34875496,35178921,303.425
"2369","Stmn4",66344296,66361680,17.384
"2370","Sub1",11981339,11996983,15.644
"2371","Sult4a1",84076097,84105754,29.657
"2372","Sun2",79724070,79742536,18.466
"2373","Syngr1",80091334,80119501,28.167
"2374","Tagln3",45711230,45724608,13.378
"2375","Tarbp2",102518192,102523676,5.484
"2376","Tars",11382301,11399665,17.364
"2377","Tbc1d22a",86214459,86498503,284.044
"2378","Tcf20",82808436,82987872,179.436
"2379","Tef",81802421,81826863,24.442
"2380","Tfrc",32608920,32632794,23.874
"2381","Tg",66670753,66850721,179.968
"2382","Tgds",118111911,118132755,20.844
"2383","Thap7",17527982,17531136,3.154
"2384","Thpo",20724454,20734511,10.057
"2385","Tiam1",89787111,90143769,356.658
"2386","Tigd5",75909735,75914535,4.8
"2387","Tmem106c",97964200,97970275,6.075
"2388","Tnfrsf11b",54250619,54278484,27.865
"2389","Tnk2",32643874,32683493,39.619
"2390","Tomm70a",57121703,57156705,35.002
"2391","Top3b",16870736,16892990,22.254
"2392","Tpt1",75845093,75848525,3.432
"2393","Tra2b",22244549,22266005,21.456
"2394","Trabd",89075124,89087077,11.953
"2395","Trio",27730651,28025848,295.197
"2396","Trmt2a",18248679,18254772,6.093
"2397","Trp63",25683763,25892102,208.339
"2398","Tspo",83563592,83574203,10.611
"2399","Tssk1",17894223,17897922,3.699
"2400","Tst",78399556,78405907,6.351
"2401","Tsta3",75924676,75929832,5.156
